"","cell_diameter_um","spindle_length__asters_um","spindle_length_poles_um","spindle_width_um","spindle_aspect_ratio_asters_um","spindle_aspect_ratio_poles_um","metaphase_plate_lengt_h_um","metaphase_plate_width_um","metaphase_plate_aspect_ratio_um","distance_between_chromosomes_um","genome","astere.to.pole_distance_AVG","inner_aster_diameter_AVG","polar_body_diameter_AVG","outer_aster_diameter_AVG"
"135",165.27357,46.37556,28.39452,15.16746,3.05756929637527,1.87206823027719,16.18617,8.7318,1.8537037037037,0,811,5.23908,19.929525,8.14968,70.79226
"137",112.3815,37.80546,23.49501,22.37928,1.6893063583815,1.04985549132948,14.86023,4.67313,3.17993079584775,0,811,3.145065,9.3786,8.14968,41.241585
"138",116.60187,42.02583,29.47791,15.05427,2.79162191192266,1.95810955961332,10.94709,3.52506,3.10550458715596,0,811,3.25017,7.640325,8.14968,41.37903
"139",122.11584,47.2164,32.11362,19.75974,2.38952536824877,1.62520458265139,14.43981,4.47909,3.22382671480144,0,811,2.110185,9.936465,8.14968,47.83086
"143",121.66308,48.8334,36.0591,20.39037,2.3949246629659,1.76843774781919,15.78192,5.4978,2.87058823529412,0,811,2.02125,8.125425,7.69692,39.721605
"146",81.38361,31.93575,18.01338,12.01431,2.65814266487214,1.49932705248991,13.16238,3.58974,3.66666666666667,0,811,0,13.623225,7.69692,41.096055
"147",78.68322,36.09144,22.08822,14.08407,2.56257175660161,1.5683122847302,12.11133,3.5574,3.40454545454545,0,811,3.274425,8.545845,7.69692,34.547205
"148",112.7049,50.51508,32.71191,23.9316,2.11081081081081,1.36689189189189,14.10024,4.30122,3.2781954887218,0,811,2.999535,12.33771,7.69692,42.664545
"149",87.33417,38.30673,27.3273,17.65764,2.16941391941392,1.54761904761905,13.2594,4.3659,3.03703703703704,0,811,3.21783,14.16492,7.69692,38.67864
"150",79.08747,41.42754,28.34601,17.75466,2.33333333333333,1.59653916211293,11.65857,3.83229,3.042194092827,0,811,1.90806,9.50424046243387,7.69692,37.102065
"152",113.01213,43.46496,31.01406,18.44997,2.3558282208589,1.68098159509202,12.38622,5.27142,2.34969325153374,0,811,2.89443,12.378135,7.69692,47.078955
"153",80.81766,37.91865,24.98265,18.96741,1.99914748508099,1.31713554987212,12.58026,5.02887,2.5016077170418,0,811,3.533145,8.50542,7.69692,33.657855
"154",76.61346,33.98934,20.2125,13.80918,2.46135831381733,1.46370023419204,11.86878,3.89697,3.04564315352697,0,811,2.28800518236338,8.02032,7.30884,36.245055
"155",61.80174,28.24899,14.11641,13.79301,2.04806565064478,1.02344665885111,9.91221,4.46292,2.22101449275362,0,811,3.646335,5.28759,7.30884,30.98172
"157",80.86617,41.76711,28.73409,15.65256,2.66838842975207,1.83574380165289,12.91983,5.19057,2.48909657320872,0,811,1.84338,8.06883,7.30884,22.36311
"158",76.67814,39.6165,34.1187,17.1402,2.31132075471698,1.99056603773585,13.77684,4.88334,2.82119205298013,0,811,0,8.78031,12.46707,40.546275
"159",79.21683,38.27439,23.55969,16.57425,2.30926829268293,1.42146341463415,11.86878,3.65442,3.24778761061947,0,811,2.49018,9.338175,12.46707,46.221945
"161",111.55683,47.00619,32.63106,18.5955,2.52782608695652,1.75478260869565,13.5828,5.10972,2.65822784810127,0,811,2.4253438886587,9.00669,12.46707,50.40189
"162",68.04336,34.84635,27.23028,16.05681,2.17019133937563,1.69587109768379,14.48832,4.73781,3.0580204778157,0,811,0,8.18202,12.46707,26.995815
"163",83.19465,38.93736,29.44557,18.82188,2.06872852233677,1.56443298969072,13.59897,4.88334,2.78476821192053,0,811,3.29868,9.742425,12.46707,35.291025
"164",60.33027,29.68812,22.49247,15.05427,1.97207303974221,1.49409237379162,11.57772,4.6893,2.46896551724138,0,811,1.851465,8.18202,12.46707,28.92813
"165",67.13784,33.66594,21.40908,15.42618,2.18238993710692,1.38784067085954,12.51558,4.0425,3.096,0,811,2.24763,7.802025,12.46707,32.865525
"166",76.14453,37.5144,25.56477,15.24831,2.46023329798515,1.67656415694592,11.39985,6.468,1.7625,0,811,1.010625,9.758595,12.46707,40.55436
"167",78.21429,33.18084,18.62784,16.71978,1.98452611218569,1.11411992263056,11.07645,4.01016,2.76209677419355,0,811,3.290595,8.125425,12.46707,34.00551
"168",73.10457,38.04801,25.53243,17.72232,2.14689781021898,1.44069343065693,15.32916,5.4978,2.78823529411765,0,811,3.20166,11.504955,12.46707,33.593175
"171",81.83637,30.22173,18.33678,18.54699,1.62946817785527,0.988666085440279,11.319,4.89951,2.31023102310231,0,811,4.050585,9.629235,12.46707,46.21386
"173",83.79294,38.45226,22.99374,9.62115,3.99663865546218,2.38991596638655,9.0552,2.95911,3.06010928961749,0,811,0,8.63478,12.46707,35.695275
"174",83.87379,41.89647,26.85837,21.44142,1.95399698340875,1.2526395173454,10.07391,5.56248,1.81104651162791,0,811,2.32848,10.421565,12.46707,36.843345
"175",83.16231,33.21318,21.5061,12.35388,2.68848167539267,1.74083769633508,10.15476,4.86717,2.08637873754153,0,811,2.45784,10.276035,12.46707,34.00551
"176",58.26051,29.28387,18.9189,7.7616,3.77291666666667,2.4375,10.55901,2.61954,4.03086419753086,0,811,1.41040460419461,3.72757440105433,12.46707,18.95124
"177",72.765,33.87615,21.78099,16.57425,2.04390243902439,1.31414634146341,12.07899,3.78378,3.19230769230769,0,811,3.10464,8.287125,9.75051,39.398205
"178",95.09577,38.04801,24.98265,23.2848,1.63402777777778,1.07291666666667,10.55901,4.54377,2.32384341637011,0,811,2.84592,11.359425,9.75051,47.919795
"180",82.98444,32.04894,19.58187,16.4934,1.94313725490196,1.18725490196078,10.93092,4.2042,2.6,0,811,2.1021,9.289665,9.75051,49.973385
"183",81.99807,37.0293,25.16052,20.68143,1.79046129788898,1.21657544956998,14.11641,2.95911,4.77049180327869,0,811,2.126355,8.351805,9.75051,35.7357
"185",93.1392,41.10414,29.106,24.9018,1.65064935064935,1.16883116883117,17.12403,5.4978,3.11470588235294,0,811,2.433585,14.965335,9.75051,43.52964
"190",53.82993,25.16052,14.7147,10.0254,2.50967741935484,1.46774193548387,6.29013,3.68676,1.70614035087719,0,811,2.110185,4.93185,9.75051,24.14181
"192",92.34687,40.63521,29.18685,9.50796,4.27380952380952,3.06972789115646,12.09516,4.5276,2.67142857142857,0,811,2.70039,8.384145,9.75051,37.90248
"193",62.48088,32.63106,19.19379,11.70708,2.78729281767956,1.63950276243094,9.00669,3.7191,2.42173913043478,0,811,2.52252,8.84499,9.75051,31.24044
"195",51.54996,25.69413,16.86531,16.12149,1.5937813440321,1.04613841524574,12.1275,4.39824,2.75735294117647,0,811,1.059135,8.5701,9.75051,31.539585
"196",81.43212,41.26584,31.01406,14.29428,2.8868778280543,2.16968325791855,11.319,4.26888,2.65151515151515,0,811,0,10.340715,9.75051,55.70565
"199",62.20599,28.58856,20.24484,17.3019,1.65233644859813,1.17009345794393,9.0552,4.94802,1.83006535947712,0,811,2.336565,7.413945,9.75051,36.01059
"200",64.55064,33.45573,21.84567,8.8935,3.76181818181818,2.45636363636364,8.05266,2.70039,2.98203592814371,0,811,1.617,7.14714,9.75051,27.86091
"201",48.1866,23.7699,16.0083,7.7616,3.0625,2.0625,8.60244,3.41187,2.52132701421801,0,811,0,7.510965,9.75051,21.9912
"202",64.11405,30.15705,19.84059,9.68583,3.1135225375626,2.04841402337229,11.36751,4.34973,2.61338289962825,0,811,1.980825,9.936465,9.75051,31.183845
"203",45.17898,21.58695,12.62877,7.64841,2.82241014799154,1.65116279069767,10.86624,3.00762,3.61290322580645,0,811,2.207205,8.739885,9.75051,24.004365
"204",59.89368,31.88724,22.21758,10.04157,3.17552334943639,2.21256038647343,9.92838,4.23654,2.34351145038168,0,811,2.918685,6.82374,9.75051,32.396595
"205",50.53125,24.75627,17.56062,10.81773,2.28849028400598,1.62331838565022,9.03903,2.7489,3.28823529411765,0,811,1.802955,6.98544,9.75051,24.30351
"206",68.25357,35.83272,25.35456,10.31646,3.47335423197492,2.4576802507837,9.33009,3.03996,3.06914893617021,0,811,2.86209,9.34626,9.75051,35.226345
"208",64.98723,32.30766,21.36057,10.89858,2.96439169139466,1.95994065281899,8.63478,2.63571,3.2760736196319,0,811,2.967195,8.03649,9.75051,31.523415
"209",67.81698,31.61235,20.0508,9.11988,3.46631205673759,2.19858156028369,8.7318,3.94548,2.21311475409836,0,811,1.05105,16.50957,9.75051,34.95954
"210",77.21175,37.15866,26.71284,15.79809,2.35209825997953,1.69089048106448,15.15129,7.53522,2.01072961373391,0,811,0,14.03556,9.75051,39.35778
"211",56.95074,30.0762,24.48138,13.7416245425708,2.15412240160576,1.68043749551596,9.15222,3.16174267794616,3.03466873626369,11.36751,811,0,12.98451,9.75051,41.76711
"214",217,48.7,28.8,17,2.86470588235294,1.69411764705882,15.7,5.5,2.85454545454545,0,811,3.45,10.3,9.75051,53.8
"218",194,43.9,33.9,18.9,2.32275132275132,1.79365079365079,13.8,6.1,2.26229508196721,0,811,0,11.4630354330283,9.75051,41.25
"220",135.4,30.6,23.6,15.9,1.92452830188679,1.48427672955975,9.1,3.41179396701544,2.70065734621945,0,811,0,4.25,9.75051,36.2
"221",129.6,43.5,27.9,24.8,1.75403225806452,1.125,10.7,6.2,1.7258064516129,0,811,0,16.6,9.75051,60.75
"222",65.8,34.6,21.4,15,2.30666666666667,1.42666666666667,13.7,3.1,4.41935483870968,0,811,0,12.15,9.75051,30.4
"223",80.2,31.9,20,16,1.99375,1.25,9.6,4.4,2.18181818181818,0,811,0,9.3,9.75051,30.85
"225",19.37166,7.81011,7.81011,6.04758,1.29144385026738,1.29144385026738,6.48417,1.42296,4.55681818181818,0,100,0,2.579115,9.75051,13.332165
"228",11.99814,5.78886,5.78886,4.76406668339558,1.35283554007578,1.08882447952251,5.44929,2.40933,2.26174496644295,0,100,0,2.30492691125578,8.448825,13.2226816800758
"229",18.66018,9.08754,9.08754,7.66458,1.18565400843882,1.18565400843882,6.77523,1.48764,4.55434782608696,0,100,0,2.73273,8.448825,11.77176
"231",12.64494,7.63224,7.63224,5.06121,1.50798722044728,1.50798722044728,6.25779,2.49018,2.51298701298701,0,100,0,2.207205,8.448825,12.4781480951399
"232",15.3615,8.66712,8.66712,5.85354,1.48066298342541,1.48066298342541,5.90205,2.65188,2.22560975609756,0,100,0,2.13444,8.448825,11.4275506508551
"233",11.91729,6.37098,6.37098,4.43058,1.43795620437956,1.43795620437956,4.34973,1.60083,2.71717171717172,0,100,0,1.334025,8.448825,5.522055
"234",10.30029,5.75652,5.75652,6.1446,0.936842105263158,0.936842105263158,5.07738,2.05359,2.47244094488189,0,100,0,1.786785,8.448825,5.40078
