aster-to-pole_distance_2_um,astere-to-pole_distance_1_um,cell_diameter_um,centrosome,chromosomes,classification,classification_CAT,cleavage_type,cleavage_type_CAT,day_old,distance_between_chromosomes_um,fixation,fixation_CAT,genome,inner_aster_diameter_1_um,inner_aster_diameter_2_um,metaphase_plate_aspect_ratio_um,metaphase_plate_lengt_h_um,metaphase_plate_width_um,microscope,microscope_CAT,num_of_cells,num_of_cells_CAT,num_of_cells_NUM,organism,organism_CAT,outer__diameter_2_um,outer_aster_diameter_1_um,phylum,phylum_CAT,polar_body_diameter_1_um,polar_body_diameter_2_um,spindle_aspect_ratio_asters_um,spindle_aspect_ratio_poles_um,spindle_length__asters_um,spindle_length_poles_um,spindle_width_um,stage,stage_CAT,time_pf
6.620840000000001,5.68878,201.26068000000004,1,36.0,bd,1,rah,1,140603,0.0,df,2.0,811.0,16.68066,19.155440000000002,1.8905472636815919,12.2132,6.460140000000001,mm20,2.0,2,2.0,2.0,asterina_miniata,1,69.32598,76.62176000000001,echinodermata,1,11.956080000000002,9.3206,2.9097605893186005,1.7311233885819521,50.781200000000005,30.2116,17.45202,m,2.0,120
,,217.65208000000004,1,36.0,bd,1,rah,1,140603,35.57898,df,2.0,811.0,60.00538,49.174200000000006,,14.23802,,mm20,2.0,1,1.0,1.0,asterina_miniata,1,154.36842000000001,161.47136,echinodermata,1,11.956080000000002,9.3206,,,87.19582000000001,75.94682,,a,1.0,120
9.642000000000001,7.0708,219.9,1,36.0,bd,1,rah,1,140603,0.0,df,2.0,811.0,14.366580000000003,11.66682,1.9471153846153846,13.0167,6.68512,mm20,2.0,1,1.0,1.0,asterina_miniata,1,49.39918,47.181520000000006,echinodermata,1,11.956080000000002,9.3206,3.9953488372093027,2.0046511627906978,55.21652000000001,27.704680000000003,13.820200000000002,m,2.0,120
8.48496,4.59602,212.31684,1,36.0,bd,1,rah,1,140603,22.56228,df,2.0,811.0,28.026080000000004,24.072860000000002,,13.20954,,mm20,2.0,1,1.0,1.0,asterina_miniata,1,78.71086000000001,100.95174000000002,echinodermata,1,11.956080000000002,9.3206,2.3069306930693068,1.283168316831683,74.8862,41.65344,32.461400000000005,a,1.0,120
7.7457400000000005,3.76038,216.36648000000002,1,36.0,bd,1,rah,1,140603,20.92314,df,2.0,811.0,30.79012,25.32632,,11.12044,,mm20,2.0,1,1.0,1.0,asterina_miniata,1,80.96066,102.10878,echinodermata,1,11.956080000000002,9.3206,2.416763678696158,1.5168800931315483,66.72264,41.878420000000006,27.608260000000005,a,1.0,120
2.5712,4.59602,202.22488,1,36.0,bd,1,rah,1,140603,19.25186,df,2.0,811.0,23.71932,22.722980000000003,,13.659500000000001,,mm20,2.0,1,1.0,1.0,asterina_miniata,1,92.20966,100.46964000000001,echinodermata,1,11.956080000000002,9.3206,2.055075593952484,1.400647948164147,61.162420000000004,41.68558,29.76164,m,2.0,120
5.335240000000001,5.817340000000001,197.2,1,36.0,bd,1,rah,1,140603,0.0,df,2.0,811.0,11.538260000000001,11.21686,4.864583333333334,15.009380000000002,3.08544,mm20,2.0,1,1.0,1.0,asterina_miniata,1,49.752720000000004,62.223040000000005,echinodermata,1,10.25266,9.3206,4.1905882352941175,2.348235294117647,57.24134,32.075720000000004,13.659500000000001,m,2.0,120
5.43166,4.4996,162.40342,1,36.0,bd,1,rah,1,140603,0.0,df,2.0,811.0,,,4.4579439252336455,15.330780000000003,3.43898,mm20,2.0,2,2.0,2.0,asterina_miniata,1,20.31248,21.75878,echinodermata,1,10.9276,9.3206,2.7827788649706453,1.827788649706458,45.70308,30.018760000000004,16.423540000000003,m,2.0,240
2.44264,4.4996,144.85498,1,36.0,bd,1,rah,1,140603,0.0,df,2.0,811.0,6.07446,4.6603,3.0634920634920637,12.40604,4.04964,mm20,2.0,2,2.0,2.0,asterina_miniata,1,20.18392,23.65504,echinodermata,1,10.9276,9.3206,3.0568720379146916,2.3791469194312795,41.4606,32.26856,13.563080000000001,m,2.0,240
,3.3747000000000003,148.90462000000002,1,36.0,bd,1,rah,1,140603,0.0,df,2.0,811.0,4.821000000000001,,1.717948717948718,10.766900000000001,6.2673000000000005,mm20,2.0,2,2.0,2.0,asterina_miniata,1,23.39792,40.75352,echinodermata,1,8.93492,9.3206,2.4560185185185186,1.6550925925925923,34.10054,22.9801,13.884480000000002,m,2.0,240
,3.46038,180.69975000000002,1,36.0,bd,1,rah,1,140603,0.0,df,2.0,811.0,5.5786500000000006,,3.4505494505494507,15.232140000000001,4.41441,mm40,1.0,2,2.0,2.0,asterina_miniata,1,30.383430000000004,36.689730000000004,echinodermata,1,13.469610000000001,9.3206,2.9357601713062094,2.1520342612419694,44.33814,32.5017,15.102780000000003,m,2.0,240
4.23654,5.497800000000001,154.18095,1,36.0,bd,1,rah,1,140603,9.62115,df,2.0,811.0,6.1446000000000005,5.999070000000001,,13.87386,,mm40,1.0,2,2.0,2.0,asterina_miniata,1,48.15426000000001,41.734770000000005,echinodermata,1,13.469610000000001,9.3206,2.938852304797742,2.186265286923801,50.51508,37.579080000000005,17.18871,a,1.0,240
0.8085,2.31231,148.19805000000002,1,36.0,bd,1,rah,1,140603,0.0,df,2.0,811.0,4.6893,5.44929,2.7740863787375414,13.50195,4.867170000000001,mm40,1.0,2,2.0,2.0,asterina_miniata,1,33.45573,34.23189,echinodermata,1,13.469610000000001,9.3206,2.3670264965652597,1.8783120706575072,39.00204,30.94938,16.477230000000002,m,2.0,240
,,149.96058,1,36.0,bd,1,rah,1,140603,0.0,df,2.0,811.0,,,2.772727272727273,13.809180000000001,4.98036,mm40,1.0,2,2.0,2.0,asterina_miniata,1,,,echinodermata,1,13.469610000000001,9.3206,2.2972972972972974,1.7061900610287706,42.60795,31.64469,18.54699,m,2.0,240
2.19912,0.0,152.75799,1,36.0,bd,1,rah,1,140603,0.0,df,2.0,811.0,4.98036,4.26888,4.075,15.81426,3.8808000000000002,mm40,1.0,1,1.0,1.0,asterina_miniata,1,25.370730000000002,27.294960000000003,echinodermata,1,13.469610000000001,9.3206,2.2269503546099294,1.7487335359675784,35.54166000000001,27.90942,15.959790000000002,m,2.0,240
2.5063500000000003,2.79741,106.38243,1,36.0,bd,1,rah,1,140603,12.17601,df,2.0,811.0,7.066290000000001,7.01778,,9.92838,,mm40,1.0,2,2.0,2.0,asterina_miniata,1,60.880050000000004,65.26212000000001,echinodermata,1,13.469610000000001,9.3206,2.9030837004405288,2.341409691629956,42.624120000000005,34.37742,14.682360000000001,a,1.0,240
3.21783,2.65188,154.58520000000001,1,36.0,bd,1,rah,1,140603,0.0,df,2.0,811.0,5.287590000000001,4.18803,2.712574850299401,14.65002,5.40078,mm40,1.0,2,2.0,2.0,asterina_miniata,1,29.68812,25.50009,echinodermata,1,13.469610000000001,9.3206,2.335984095427436,1.7604373757455272,37.999500000000005,28.63707,16.26702,m,2.0,240
0.0,0.0,189.18900000000002,1,36.0,bd,1,rah,1,140603,13.081530000000003,df,2.0,811.0,10.461990000000002,9.99306,,15.21597,,mm40,1.0,2,2.0,2.0,asterina_miniata,1,61.88259,70.27482,echinodermata,1,13.469610000000001,9.3206,1.9311512415349887,1.4396162528216705,55.33374,41.24967,28.65324,a,1.0,240
4.26888,4.13952,185.11416,1,36.0,bd,1,rah,1,140603,12.4509,df,2.0,811.0,7.147140000000001,7.260330000000001,,15.78192,,mm40,1.0,2,2.0,2.0,asterina_miniata,1,49.94913,54.28269,echinodermata,1,13.469610000000001,9.3206,1.8249336870026525,1.356498673740053,55.6248,41.34669,30.48045,a,1.0,240
3.02379,1.8272100000000002,123.39327000000002,1,36.0,bd,1,rah,1,140603,0.0,df,2.0,811.0,5.287590000000001,4.18803,3.3186813186813184,14.65002,4.41441,mm40,1.0,2,2.0,2.0,asterina_miniata,1,25.839660000000002,30.65832,echinodermata,1,13.469610000000001,9.3206,2.0995348837209304,1.5627906976744186,36.49569,27.1656,17.38275,m,2.0,240
2.8782600000000005,2.1021,153.50181,1,36.0,bd,1,rah,1,140603,0.0,df,2.0,811.0,4.8833400000000005,5.41695,2.6219081272084805,11.998140000000001,4.576110000000001,mm40,1.0,1,1.0,1.0,asterina_miniata,1,32.77659,30.205560000000006,echinodermata,1,6.468,9.3206,2.582309582309582,1.8292383292383292,33.98934,24.077130000000004,13.162380000000002,m,2.0,240
0.0,0.0,140.80836,1,36.0,bd,1,rah,1,140603,23.6082,df,2.0,811.0,30.35109,23.75373,,14.100240000000001,,mm40,1.0,1,1.0,1.0,asterina_miniata,1,85.63632000000001,87.26949000000002,echinodermata,1,6.468,9.3206,2.545261669024045,1.9066478076379065,58.19583,43.59432,22.864380000000004,a,1.0,240
0.0,0.0,115.84188,1,36.0,bd,1,rah,1,140603,0.0,df,2.0,811.0,5.80503,5.756520000000001,3.3775933609958506,13.162380000000002,3.8969700000000005,mm40,1.0,2,2.0,2.0,asterina_miniata,1,39.535650000000004,35.18592,echinodermata,1,6.468,9.3206,2.0634920634920633,1.5677655677655675,27.3273,20.76228,13.243230000000002,m,2.0,240
2.45784,2.19912,160.63278,1,36.0,bd,1,rah,1,140603,0.0,df,2.0,811.0,5.610990000000001,6.93693,2.876971608832808,14.747040000000002,5.12589,mm40,1.0,2,2.0,2.0,asterina_miniata,1,35.21826,38.937360000000005,echinodermata,1,6.468,9.3206,3.123853211009174,2.3440366972477067,44.04708,33.051480000000005,14.100240000000001,m,2.0,240
2.5872,2.21529,163.30083000000002,1,36.0,bd,1,rah,1,140603,0.0,df,2.0,811.0,5.41695,4.786320000000001,3.6493506493506493,13.631310000000001,3.7352700000000003,mm40,1.0,2,2.0,2.0,asterina_miniata,1,34.86252,39.39012,echinodermata,1,6.468,9.3206,2.4935579781962334,1.855302279484638,40.68372,30.27024,16.315530000000003,m,2.0,240
2.89443,1.14807,157.1724,1,36.0,bd,1,rah,1,140603,0.0,df,2.0,811.0,5.287590000000001,6.241620000000001,7.579439252336449,13.11387,1.73019,mm40,1.0,2,2.0,2.0,asterina_miniata,1,31.337460000000004,31.612350000000003,echinodermata,1,6.468,9.3206,3.0137857900318132,2.1749734888653234,45.95514,33.16467,15.24831,m,2.0,240
0.8085,3.18549,99.08976,1,36.0,bd,1,rah,1,140603,0.0,df,2.0,811.0,5.756520000000001,4.98036,5.102189781021899,11.302830000000002,2.21529,mm40,1.0,4,3.0,4.0,asterina_miniata,1,28.265160000000005,31.353630000000003,echinodermata,1,6.468,9.3206,3.0559085133418042,2.3989834815756037,38.888850000000005,30.528960000000005,12.725790000000002,m,2.0,240
4.83483,4.91568,166.77738000000002,1,36.0,bd,1,rah,1,140603,20.30952,df,2.0,811.0,14.19726,15.911280000000001,,11.319,,mm40,1.0,2,2.0,2.0,asterina_miniata,1,5.44929,65.92509,echinodermata,1,6.468,9.3206,2.7357197258187353,1.9063214013709062,58.082640000000005,40.473510000000005,21.231210000000004,a,1.0,240
3.5250600000000003,3.2016600000000004,170.85222,1,36.0,bd,1,rah,1,140603,21.76482,df,2.0,811.0,17.738490000000002,20.95632,,12.677280000000001,,mm40,1.0,2,2.0,2.0,asterina_miniata,1,67.39656000000001,62.25450000000001,echinodermata,1,6.468,9.3206,0.4788918205804749,1.6774406332453828,11.739419999999999,41.12031,24.51372,a,1.0,240
5.142060000000001,3.8808000000000002,145.43298000000001,1,36.0,bd,1,rah,1,140603,0.0,df,2.0,811.0,9.3786,,,15.89511,,mm40,1.0,1,1.0,1.0,asterina_miniata,1,42.97986,54.816300000000005,echinodermata,1,6.468,9.3206,2.6289361702127656,1.753191489361702,49.94913,33.3102,18.999750000000002,m,2.0,240
1.06722,1.3582800000000002,105.54159000000001,1,36.0,bd,1,rah,1,140603,0.0,df,2.0,811.0,7.033950000000001,6.209280000000001,3.4611398963730564,10.80156,3.1208100000000005,mm40,1.0,2,2.0,2.0,asterina_miniata,1,32.113620000000004,39.74586000000001,echinodermata,1,6.468,9.3206,2.70125,2.1425,34.94337,27.715380000000003,12.936,m,2.0,240
2.1021,1.9404000000000001,151.44822000000002,1,36.0,bd,1,rah,1,140603,0.0,df,2.0,811.0,7.01778,5.64333,4.207031250000001,17.415090000000003,4.13952,mm40,1.0,2,2.0,2.0,asterina_miniata,1,28.73409,36.15612,echinodermata,1,6.468,9.3206,2.5080160320641283,1.9438877755511021,40.473510000000005,31.3698,16.13766,m,2.0,240
