,inner_aster_diameter_1_um,inner_aster_diameter_2_um,cell_diameter_um,meiotic,stage,organism,organism_CAT,inner_aster_diam_AVG
114,7.4058600000000006,6.904590000000002,105.89733000000001,0,m,asterina_miniata,1,7.1552250000000015
115,7.793940000000001,9.84753,84.82781999999999,0,m,asterina_miniata,1,8.820735
116,6.823740000000001,7.2603300000000015,107.6922,0,m,asterina_miniata,1,7.042035000000001
120,15.97596,13.987050000000002,108.09645,0,m,asterina_miniata,1,14.981505000000002
123,11.4807,8.844990000000003,103.58502,0,m,asterina_miniata,1,10.162845
124,10.65603,11.61006,111.75086999999999,0,m,asterina_miniata,1,11.133045
125,8.02032,6.3063,73.68669,0,m,asterina_miniata,1,7.16331
126,9.76668,13.03302,98.3136,0,m,asterina_miniata,1,11.39985
127,7.4058600000000006,6.6297000000000015,122.71413000000001,0,m,asterina_miniata,1,7.017780000000001
129,7.890960000000001,9.29775,72.66798,0,m,asterina_miniata,1,8.594355
131,12.483240000000002,,94.25493,0,m,asterina_miniata,1,12.483240000000002
132,9.78285,10.461990000000002,120.66054,0,m,asterina_miniata,1,10.122420000000002
133,22.9614,24.83712,168.97650000000004,0,m,asterina_miniata,1,23.899259999999998
134,18.88656,20.97249,165.27357,0,m,asterina_miniata,1,19.929524999999998
136,8.634780000000001,10.122420000000002,112.3815,0,m,asterina_miniata,1,9.378600000000002
137,8.2467,7.033950000000001,116.60186999999999,0,m,asterina_miniata,1,7.640325000000001
138,13.0977,6.7752300000000005,122.11584000000002,0,m,asterina_miniata,1,9.936465
142,7.890960000000001,8.359890000000002,121.66308,0,m,asterina_miniata,1,8.125425000000002
145,15.183630000000004,12.06282,81.38361,0,m,asterina_miniata,1,13.623225000000001
146,10.1871,6.904590000000002,78.68321999999999,0,m,asterina_miniata,1,8.545845
