time_pf,num_of_cells,meiotic,stage,cell_diameter_um,spindle_length__asters_um,spindle_length_poles_um,spindle_width_um,spindle_aspect_ratio_asters_um,spindle_aspect_ratio_poles_um,astere-to-pole_distance_1_um,aster-to-pole_distance_2_um,inner_aster_diameter_1_um,inner_aster_diameter_2_um,outer_aster_diameter_1_um,outer__diameter_2_um,centrosome,metaphase_plate_lengt_h_um,metaphase_plate_width_um,metaphase_plate_aspect_ratio_um,polar_body_diameter_1_um,polar_body_diameter_2_um,distance_between_chromosomes_um,microscope,fixation,organism,phylum,classification,genome,chromosomes,cleavage_type,num_of_cells_CAT,num_of_cells_NUM,classification_CAT,phylum_CAT,organism_CAT,cleavage_type_CAT,fixation_CAT,microscope_CAT,stage_CAT,day_old
120,1,0,m,197.2,57.24134,32.075720000000004,13.659500000000001,4.1905882352941175,2.348235294117647,5.817340000000001,5.335240000000001,11.538260000000001,11.21686,62.223040000000005,49.752720000000004,1,15.009380000000002,3.08544,4.864583333333334,10.25266,9.3206,0.0,mm20,df,asterina_miniata,echinodermata,bd,811.0,36.0,rah,1.0,1.0,1,1,1,1,2.0,2.0,2.0,140603
240,2,0,m,162.40342,45.70308,30.018760000000004,16.423540000000003,2.7827788649706453,1.827788649706458,4.4996,5.43166,,,21.75878,20.31248,1,15.330780000000003,3.43898,4.4579439252336455,10.9276,9.3206,0.0,mm20,df,asterina_miniata,echinodermata,bd,811.0,36.0,rah,2.0,2.0,1,1,1,1,2.0,2.0,2.0,140603
240,2,0,m,144.85498,41.4606,32.26856,13.563080000000001,3.0568720379146916,2.3791469194312795,4.4996,2.44264,6.07446,4.6603,23.65504,20.18392,1,12.40604,4.04964,3.0634920634920637,10.9276,9.3206,0.0,mm20,df,asterina_miniata,echinodermata,bd,811.0,36.0,rah,2.0,2.0,1,1,1,1,2.0,2.0,2.0,140603
240,2,0,m,148.90462000000002,34.10054,22.9801,13.884480000000002,2.4560185185185186,1.6550925925925923,3.3747000000000003,,4.821000000000001,,40.75352,23.39792,1,10.766900000000001,6.2673000000000005,1.717948717948718,8.93492,9.3206,0.0,mm20,df,asterina_miniata,echinodermata,bd,811.0,36.0,rah,2.0,2.0,1,1,1,1,2.0,2.0,2.0,140603
240,2,0,m,180.69975000000002,44.33814,32.5017,15.102780000000003,2.9357601713062094,2.1520342612419694,3.46038,,5.5786500000000006,,36.689730000000004,30.383430000000004,1,15.232140000000001,4.41441,3.4505494505494507,13.469610000000001,9.3206,0.0,mm40,df,asterina_miniata,echinodermata,bd,811.0,36.0,rah,2.0,2.0,1,1,1,1,2.0,1.0,2.0,140603
240,2,0,a,154.18095,50.51508,37.579080000000005,17.18871,2.938852304797742,2.186265286923801,5.497800000000001,4.23654,6.1446000000000005,5.999070000000001,41.734770000000005,48.15426000000001,1,13.87386,,,13.469610000000001,9.3206,9.62115,mm40,df,asterina_miniata,echinodermata,bd,811.0,36.0,rah,2.0,2.0,1,1,1,1,2.0,1.0,1.0,140603
240,2,0,m,148.19805000000002,39.00204,30.94938,16.477230000000002,2.3670264965652597,1.8783120706575072,2.31231,0.8085,4.6893,5.44929,34.23189,33.45573,1,13.50195,4.867170000000001,2.7740863787375414,13.469610000000001,9.3206,0.0,mm40,df,asterina_miniata,echinodermata,bd,811.0,36.0,rah,2.0,2.0,1,1,1,1,2.0,1.0,2.0,140603
240,2,0,m,149.96058,42.60795,31.64469,18.54699,2.2972972972972974,1.7061900610287706,,,,,,,1,13.809180000000001,4.98036,2.772727272727273,13.469610000000001,9.3206,0.0,mm40,df,asterina_miniata,echinodermata,bd,811.0,36.0,rah,2.0,2.0,1,1,1,1,2.0,1.0,2.0,140603
240,1,0,m,152.75799,35.54166000000001,27.90942,15.959790000000002,2.2269503546099294,1.7487335359675784,0.0,2.19912,4.98036,4.26888,27.294960000000003,25.370730000000002,1,15.81426,3.8808000000000002,4.075,13.469610000000001,9.3206,0.0,mm40,df,asterina_miniata,echinodermata,bd,811.0,36.0,rah,1.0,1.0,1,1,1,1,2.0,1.0,2.0,140603
240,2,0,a,106.38243,42.624120000000005,34.37742,14.682360000000001,2.9030837004405288,2.341409691629956,2.79741,2.5063500000000003,7.066290000000001,7.01778,65.26212000000001,60.880050000000004,1,9.92838,,,13.469610000000001,9.3206,12.17601,mm40,df,asterina_miniata,echinodermata,bd,811.0,36.0,rah,2.0,2.0,1,1,1,1,2.0,1.0,1.0,140603
